country,Dim1,2019_LEx
Indonesia,Female,73.3
Indonesia,Male,69.4
Iran,Both sexes,77.35
Iran,Female,79.09
Iran,Male,75.69
Iraq,Both sexes,72.42
Iraq,Female,74.97
Iraq,Male,69.93
Ireland,Both sexes,81.84
Ireland,Female,83.48
Ireland,Male,80.2
Israel,Both sexes,82.62
Israel,Female,84.36
Israel,Male,80.79
Italy,Both sexes,82.97
Italy,Female,84.9
Italy,Male,80.91
Jamaica,Both sexes,75.98
Jamaica,Female,77.68
Jamaica,Male,74.36
Japan,Both sexes,84.26
Japan,Female,86.94
Japan,Male,81.49
Jordan,Both sexes,77.87
Jordan,Female,78.78
Jordan,Male,77.02
Kazakhstan,Both sexes,73.95
Kazakhstan,Female,77.61
Kazakhstan,Male,69.98
Kenya,Both sexes,66.09
Kenya,Female,68.44
Kenya,Male,63.7
Kiribati,Both sexes,59.42
Kiribati,Female,62.8
Kiribati,Male,56.14
Kuwait,Both sexes,80.97
Kuwait,Female,83.95
Kuwait,Male,79.25
Kyrgyz Republic,Both sexes,74.18
Kyrgyz Republic,Female,77.31
Kyrgyz Republic,Male,70.75
Lao People's Democratic Republic,Both sexes,68.51
Lao People's Democratic Republic,Female,70.95
Lao People's Democratic Republic,Male,66.19
Latvia,Both sexes,75.38
Latvia,Female,79.84
Latvia,Male,70.58
Lebanon,Both sexes,76.44
Lebanon,Female,79.15
Lebanon,Male,74.03
Lesotho,Both sexes,50.75
Lesotho,Female,54.24
Lesotho,Male,47.66
Liberia,Both sexes,64.08
Liberia,Female,65
Liberia,Male,63.15
Libya,Both sexes,75.78
Libya,Female,77.34
Libya,Male,74.21
Lithuania,Both sexes,75.99
Lithuania,Female,80.43
Lithuania,Male,71.23
Luxembourg,Both sexes,82.41
Luxembourg,Female,84.2
Luxembourg,Male,80.62
Madagascar,Both sexes,65.35
Madagascar,Female,66.6
Madagascar,Male,64.1
Malawi,Both sexes,65.62
Malawi,Female,68.93
Malawi,Male,62.31
Malaysia,Both sexes,74.72
Malaysia,Female,77.08
Malaysia,Male,72.61
Maldives,Both sexes,79.59
Maldives,Female,80.76
Maldives,Male,78.63
Mali,Both sexes,62.8
Mali,Female,63.4
Mali,Male,62.2
Malta,Both sexes,81.89
Malta,Female,83.8
Malta,Male,79.94
Mauritania,Both sexes,68.38
Mauritania,Female,68.73
Mauritania,Male,68.08
Mauritius,Both sexes,74.07
Mauritius,Female,77.32
Mauritius,Male,70.95
Mexico,Both sexes,76.01
Mexico,Female,78.86
Mexico,Male,73.13
Micronesia,Both sexes,63.03
Micronesia,Female,66.05
Micronesia,Male,60.35
Moldova,Both sexes,73.26
Moldova,Female,77.12
Moldova,Male,69.26
Mongolia,Both sexes,68.1
Mongolia,Female,72.76
Mongolia,Male,63.82
Montenegro,Both sexes,75.88
Montenegro,Female,78.65
Montenegro,Male,73.15
Morocco,Both sexes,72.99
Morocco,Female,74.31
Morocco,Male,71.68
Mozambique,Both sexes,58.14
Mozambique,Female,61.73
Mozambique,Male,54.46
Myanmar,Both sexes,69.13
Myanmar,Female,72.2
Myanmar,Male,65.91
Namibia,Both sexes,64.58
Namibia,Female,68.45
Namibia,Male,60.58
Nepal,Both sexes,70.88
Nepal,Female,72.75
Nepal,Male,68.88
Netherlands,Both sexes,81.79
Netherlands,Female,83.15
Netherlands,Male,80.4
New Zealand,Both sexes,81.96
New Zealand,Female,83.52
New Zealand,Male,80.36
Nicaragua,Both sexes,75.04
Nicaragua,Female,77.93
Nicaragua,Male,72.07
Niger,Both sexes,63.29
Niger,Female,64.56
Niger,Male,62.06
Nigeria,Both sexes,62.62
Nigeria,Female,64.1
Nigeria,Male,61.2
North Macedonia,Both sexes,74.82
North Macedonia,Female,76.87
North Macedonia,Male,72.84
Norway,Both sexes,82.62
Norway,Female,84.13
Norway,Male,81.08
Oman,Both sexes,73.9
Oman,Female,75.26
Oman,Male,72.97
Pakistan,Both sexes,65.61
Pakistan,Female,66.72
Pakistan,Male,64.59
Panama,Both sexes,79.29
Panama,Female,82.06
Panama,Male,76.65
Papua New Guinea,Both sexes,65.3
Papua New Guinea,Female,67.36
Papua New Guinea,Male,63.4
Paraguay,Both sexes,75.81
Paraguay,Female,78.85
Paraguay,Male,73.08
Peru,Both sexes,79.9
Peru,Female,81.34
Peru,Male,78.46
Philippines,Both sexes,70.43
Philippines,Female,73.6
Philippines,Male,67.4
Poland,Both sexes,78.27
Poland,Female,81.93
Poland,Male,74.53
Portugal,Both sexes,81.57
Portugal,Female,84.4
Portugal,Male,78.56
Qatar,Both sexes,77.17
Qatar,Female,76.63
Qatar,Male,78.03
Romania,Both sexes,75.57
Romania,Female,79.26
Romania,Male,71.95
Russian Federation,Both sexes,73.23
Russian Federation,Female,78
Russian Federation,Male,68.18
Rwanda,Both sexes,69.1
Rwanda,Female,71.24
Rwanda,Male,66.88
Saint Lucia,Both sexes,74.33
Saint Lucia,Female,77.71
Saint Lucia,Male,71.3
Saint Vincent and the Grenadines,Both sexes,73.22
Saint Vincent and the Grenadines,Female,75.32
Saint Vincent and the Grenadines,Male,71.32
Samoa,Both sexes,70.45
Samoa,Female,71.85
Samoa,Male,69.16
Sao Tome and Principe,Both sexes,70.42
Sao Tome and Principe,Female,71.99
Sao Tome and Principe,Male,68.79
Saudi Arabia,Both sexes,74.31
Saudi Arabia,Female,76.15
Saudi Arabia,Male,73.11
Senegal,Both sexes,68.58
Senegal,Female,70.14
Senegal,Male,66.82
Serbia,Both sexes,75.87
Serbia,Female,78.28
Serbia,Male,73.46
Seychelles,Both sexes,73.34
Seychelles,Female,77.15
Seychelles,Male,69.98
Sierra Leone,Both sexes,60.77
Sierra Leone,Female,61.9
Sierra Leone,Male,59.6
Singapore,Both sexes,83.22
Singapore,Female,85.45
Singapore,Male,81.05
Slovakia,Both sexes,78.23
Slovakia,Female,81.44
Slovakia,Male,74.84
Slovenia,Both sexes,81.31
Slovenia,Female,84.06
Slovenia,Male,78.59
Solomon Islands,Both sexes,65.25
Solomon Islands,Female,67.87
Solomon Islands,Male,62.87
Somalia,Both sexes,56.47
Somalia,Female,59.22
Somalia,Male,54.01
South Africa,Both sexes,65.25
South Africa,Female,68.29
South Africa,Male,62.2
South Korea,Both sexes,83.3
