Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Bahamas, The",BHS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.58,5.32,5.06,4.8,4.54,4.28,4.248,4.216,4.184,4.152,4.12,4.206,4.292,4.378,4.464,4.55,4.626666667,4.703333333,4.78,..
"Bahamas, The",BHS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.68,10.66,10.64,10.62,10.6,10.63333333,10.66666667,10.7,10.7
Bahrain,BHR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.74,1.744,1.748,1.752,1.756,1.76,1.746,1.732,1.718,1.704,1.69,1.612,1.534,1.456,1.378,1.3,1.23,1.16,1.09,..
Bahrain,BHR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,22.2,21.76,21.32,20.88,20.44,20,19.62,19.24,18.86,18.48,18.1,17.76,17.42,17.08,16.74,16.4,16,15.6,15.2,15.2
Bangladesh,BGD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.23,0.216,0.202,0.188,0.174,0.16,0.16,0.16,0.16,0.16,0.16,0.1322,0.1044,0.0766,0.0488,0.021,0.020333333,0.019666667,0.019,..
Bangladesh,BGD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,57.6,56.14,54.68,53.22,51.76,50.3,49.04,47.78,46.52,45.26,44,42.98,41.96,40.94,39.92,38.9,37.66666667,36.43333333,35.2,35.2
Barbados,BRB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.11,7.168,7.226,7.284,7.342,7.4,7.51,7.62,7.73,7.84,7.95,8.226,8.502,8.778,9.054,9.33,9.45,9.57,9.69,..
Barbados,BRB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,10.2,10.1,10,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.12,9.04,8.96,8.88,8.8,8.7,8.6,8.5,8.5
Belarus,BLR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,15.17,15.196,15.222,15.248,15.274,15.3,15.726,16.152,16.578,17.004,17.43,16.344,15.258,14.172,13.086,12,11.81666667,11.63333333,11.45,..
Belarus,BLR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,41.8,41.2,40.6,40,39.4,38.8,38.2,37.6,37,36.4,35.8,35.24,34.68,34.12,33.56,33,32.3,31.6,30.9,30.9
Belgium,BEL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.49,12.618,12.746,12.874,13.002,13.13,12.784,12.438,12.092,11.746,11.4,11.484,11.568,11.652,11.736,11.82,11.57333333,11.32666667,11.08,..
Belgium,BEL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,33.4,32.82,32.24,31.66,31.08,30.5,30,29.5,29,28.5,28,27.54,27.08,26.62,26.16,25.7,25.1,24.5,23.9,23.9
Belize,BLZ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.55,5.872,6.194,6.516,6.838,7.16,7.144,7.128,7.112,7.096,7.08,7.012,6.944,6.876,6.808,6.74,6.566666667,6.393333333,6.22,..
Belize,BLZ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,15,14.6,14.2,13.8,13.4,13,12.66,12.32,11.98,11.64,11.3,10.98,10.66,10.34,10.02,9.7,9.4,9.1,8.8,8.8
Benin,BEN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.46,2.414,2.368,2.322,2.276,2.23,2.278,2.326,2.374,2.422,2.47,2.57,2.67,2.77,2.87,2.97,2.916666667,2.863333333,2.81,..
Benin,BEN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,16.7,16.04,15.38,14.72,14.06,13.4,12.86,12.32,11.78,11.24,10.7,10.28,9.86,9.44,9.02,8.6,8.133333333,7.666666667,7.2,7.2
Bhutan,BTN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.77,2.536,2.302,2.068,1.834,1.6,1.464,1.328,1.192,1.056,0.92,0.82,0.72,0.62,0.52,0.42,0.423333333,0.426666667,0.43,..
Bhutan,BTN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Bolivia,BOL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.44,3.626,3.812,3.998,4.184,4.37,4.608,4.846,5.084,5.322,5.56,5.376,5.192,5.008,4.824,4.64,4.57,4.5,4.43,..
Bolivia,BOL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,32.1,30.66,29.22,27.78,26.34,24.9,23.82,22.74,21.66,20.58,19.5,18.72,17.94,17.16,16.38,15.6,14.8,14,13.2,13.2
Bosnia and Herzegovina,BIH,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.37,6.536,6.702,6.868,7.034,7.2,7.224,7.248,7.272,7.296,7.32,7.24,7.16,7.08,7,6.92,6.996666667,7.073333333,7.15,..
Bosnia and Herzegovina,BIH,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,46.6,45.96,45.32,44.68,44.04,43.4,42.78,42.16,41.54,40.92,40.3,39.78,39.26,38.74,38.22,37.7,36.96666667,36.23333333,35.5,35.5
Botswana,BWA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.05,9.162,9.274,9.386,9.498,9.61,9.412,9.214,9.016,8.818,8.62,8.268,7.916,7.564,7.212,6.86,6.77,6.68,6.59,..
