Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.66,71.77,71.87,72.07,72.56,72.56,72.61,72.66,72.96,73.41,73.51,74.16,74.31,74.86,74.47,74.61,74.81,74.81,74.96,75.11
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.49,50.89,51.38,51.96,52.6,53.31,54.06,54.84,55.62,56.38,57.1,57.76,58.37,58.94,59.45,59.92,60.35,60.77,61.17,61.58
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.09,49.93,50.81,51.69,52.55,53.37,54.16,54.94,55.72,56.49,57.23,57.93,58.57,59.15,59.67,60.12,60.53,60.9,61.25,61.58
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.58,69.1,69.56,69.93,70.22,70.42,70.57,70.68,70.79,70.91,71.06,71.24,71.45,71.66,71.89,72.12,72.35,72.57,72.78,72.98
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.43,59.34,60.28,61.24,62.19,63.09,63.93,64.7,65.39,66.01,66.56,67.04,67.48,67.89,68.27,68.64,68.98,69.29,69.57,69.82
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.99,51.22,51.54,51.91,52.32,52.76,53.22,53.68,54.15,54.63,55.1,55.58,56.07,56.58,57.08,57.58,58.06,58.51,58.92,59.29
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.14,79.34,79.49,79.74,79.89,80.19,80.34,80.54,80.7,81,81.25,81.45,81.65,81.75,81.8,81.9,81.9,81.9,82.05,82.05
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.19,44.06,44.06,44.18,44.41,44.74,45.16,45.64,46.16,46.72,47.31,47.95,48.64,49.37,50.13,50.88,51.59,52.24,52.81,53.28
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.71,47.79,47.9,48.06,48.27,48.55,48.91,49.34,49.82,50.35,50.89,51.42,51.93,52.39,52.79,53.14,53.44,53.71,53.98,54.24
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.04,79.3,79.55,79.8,80.05,80.3,80.55,80.8,81.04,81.27,81.48,81.69,81.88,82.07,82.25,82.43,82.6,82.77,82.93,83.09
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.37,76.63,76.89,77.15,77.39,77.63,77.87,78.1,78.33,78.56,78.78,78.99,79.18,79.35,79.5,79.65,79.78,79.91,80.04,80.18
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.4,71.73,72.06,72.38,72.69,72.99,73.27,73.55,73.84,74.12,74.41,74.71,75.01,75.32,75.63,75.93,76.21,76.47,76.7,76.91
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.95,73.24,73.52,73.78,74.03,74.27,74.5,74.73,74.96,75.19,75.42,75.66,75.88,76.11,76.32,76.53,76.73,76.93,77.11,77.29
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.46,59.53,59.62,59.74,59.9,60.13,60.41,60.73,61.09,61.48,61.86,62.24,62.6,62.92,63.21,63.47,63.7,63.91,64.12,64.32
Democratic Republic of the Congo,COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.04,50.67,51.39,52.14,52.92,53.68,54.4,55.09,55.74,56.35,56.91,57.43,57.91,58.38,58.83,59.25,59.66,60.03,60.37,60.68
Congo,COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.12,52.52,53.09,53.82,54.67,55.6,56.57,57.54,58.47,59.32,60.09,60.79,61.42,62.02,62.58,63.1,63.56,63.95,64.29,64.57
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.45,77.6,77.74,77.87,78,78.12,78.24,78.36,78.49,78.63,78.77,78.92,79.07,79.23,79.4,79.57,79.74,79.91,80.1,80.28
