Year,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong (China),Hungary,Iceland,India,Indonesia,Iran,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyz Republic,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Taiwan (China),Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Uganda,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2010,11926922828.99,161207270185.25,3449925738.86,81699556136.66,1148700000,423627422092.49,9260284937.8,2453631284.92,1147589183475.73,392275107258.67,52909294791.93,10095760000,25713271276.6,115279077465.23,4529928302.17,57222490768.71,481420882905,1387925188.49,9535344283.47,6634526000,1547991317.81,19649631308.16,12786654498.35,2208838108577.09,,13707370737.07,50682061053.2,10109618964.28,2032135246.5,1664310769.55,11242275198.98,27507499709.07,1617343367486.26,2142591375.85,10668102734.81,217105420016.53,6087163874510.73,286563105192.46,13148396205.67,37658614803.28,34936305296.97,60426018629.3,59562962962.96,25732432719.08,209069940963.18,21565720044.46,321995279401.5,1128611700.36,493825925.93,53860175556,69555367000,218983666061.71,18447920000,16314442183.35,19523477325.62,4438778424.3,29933790334.34,3140508835.95,249424310816.67,2645187882116.67,14372591916.48,1543292392.55,12243505582.67,3399667820000.01,32197272797.2,297124961971.5,771013259.26,40676432028.59,6853467857.61,849878424.23,3432913073.24,11859315078.79,15839344591.98,228637697575.04,132231134158.61,13751161917.74,1675615335600.56,755094160363.07,486807615326.15,221876011283.5,5920177688.5,234654589559.97,2136099955236.67,13220556882.7,5759071769013.11,,27133804225.35,148047348240.64,45405587556.73,155299728.49,115419399860.43,4794357795.07,7131773632.71,23956163076.56,38443907042.32,2234731973.55,1998000000,75380170508.37,5082366478.09,37128694028.24,56213985987.42,9982711338.12,6959655570.89,255016609232.87,10689168011.44,9035932122.5,160407100,5628878865.99,10003670690.35,1057801295584.05,296944100,6974982392.67,5367625613.15,93216746661.6,11104649065.16,37796052938.73,11431334447.43,16002656434.47,847380859016.67,146517541181.25,8758639096.48,7851191899.34,361456622215.72,9407168702.43,428757038466.84,64993498049.41,177165635077.07,185943000,29440287600,14250755231.13,27129301212.18,147528937028.78,208368726861.41,479834179020.33,238113003233.28,125122306346.15,166309355234.59,1524917468442.01,6121529488.49,1486758037.04,720447880.16,663161528.41,1881214370.94,196652514.27,528207332649.54,16121314670.97,41819468691.83,969940010.25,2578026297.16,239809387605.43,,48208240226.45,846767635.94,417365076968.26,1144066965324.49,1422108199783.34,56725749221.9,74151186600.17,4368398047.64,495812558843.31,603434493402.68,252518218262.81,,5642178579.58,32014249841.42,341104820155.46,3429461495.41,22157948396.2,46206091937.96,776992599946.77,22583157894.74,26673441667.28,141209864408.49,2491110093454.18,15048964444000,40284481651.9,49765676402.45,670713208.08,,147198853578.92,30906749533.22,20265559483.85,12041655200
2011,12890764531.33,200013052199.2,3629133574.28,109436531427.07,1137637037.04,530163281574.66,10142111334.5,2637988826.82,1397907916789.9,431685217367.51,65951627200.2,10070450000,28776595744.68,128637938711.39,4657699461.46,61757788944.72,523330354138.13,1466822039.41,10693321953.64,6312691000,1777101316.68,23963033429.44,15351972361.15,2616156606666.62,,18525319977.74,57678241023.82,12080296644.06,2235820867.83,1865915544.12,12829541141.01,30630912184.78,1793326630174.52,2437982839.63,12172309522.62,251224856981.29,7551500124197.17,334943871931.75,15655383585.99,42762617081.65,36693712824.82,63169910822.13,68990000000,27565469098,229562733398.95,25839749198.82,344003137611.27,1239144501.78,501025925.93,58029750745.65,79276664000,235989672977.63,20283780000,21357344847.5,23213994093.46,4820499924.25,31952763089.33,3774530615.66,275604356167.32,2865157541994.17,18210308748.29,1409694553.91,15107441446.78,3749314991050.59,39337314809.94,282995942006.56,778655925.93,46876114650.5,6785137172.77,1099818651.98,3691384317.52,13008754110.81,17710315006,248513617677.29,141999960209.89,15221622925.93,1823049927771.46,892969107923.09,626133114526.81,238975558966.53,6566098381.67,262293871093.06,2294994296589.5,14444655299.88,6233147172341.35,,29524149154.93,192626507971.58,46869457318.25,180665807.22,154068115942.03,6197766118.6,8750107401.58,27474380566.27,39927125961.19,2579421686.25,2398000000,48167374611.99,5739977477.48,43535051482.39,61696281326.25,11551819617.63,8004000737.31,297951960784.31,12995112698.01,9638916481.07,172188500,6764627665.69,11518393367.24,1180489601957.61,311301600,8414351671.96,6088808463.25,101370474295.11,14381552466.6,54118601974.79,12523402328.77,21573862466.83,905270626332.69,168291357111.74,9774307336.24,8772951261.82,404993594133.58,10494632699.39,498283438454.28,77497529258.78,213587413184,196911100,34686224300,17984910501.9,33737052170.49,171761737046.59,234216930369.8,528301269069.8,245117990242.25,167775268614.04,183326740143.02,2045925608274.37,6881379761.84,1576988407.41,713796368.7,737401684.08,1813752783.96,231489270.14,671238840108.23,17814284622.17,49258136128.97,1065823923.14,2942546781.05,279351168707.27,,51583869785.18,1049889691.54,458201514136.98,1253223044718.99,1480710495710.12,65292753005.47,78403418360.46,4422276621.79,574094112972.73,722038242134.62,73616694709.23,,6522732202.51,34657139495.4,370819140946.55,3872459249.75,25433011405.3,48122744708.06,838762755164.18,29233333333.33,27871725205.57,169333048847.83,2674891473843.81,15599728123000,47962439303.72,60178909297.21,770153304.15,,172595960457.83,32726417212.35,23459515275.58,14101920300
2012,12319830437.35,209058991952.13,3188652765.36,124998158417.86,1199948148.15,545982375701.13,10619320048.59,2615083798.88,1546508558465.66,409401816050.53,69683935845.21,10720500000,30749308510.64,133355749482.48,4610095997.77,65685102554.88,496152879924.73,1531348953.18,11141358945.13,6378188000,1781281281.58,27084497481.91,14380004175.12,2465228293894.01,,19047940300.9,54300857424.44,12561016091.47,2333341374.9,1741809808.96,14054443213.46,30155064574.07,1828366481521.6,2510126699.05,12367363677.62,267175872540.07,8532229986993.65,370921320483.84,17692911280.56,47231651862.84,36302305578.25,57192346923.34,73141000000,24978513426.7,208857719320.65,29306235826.39,327148943812.14,1353632941.52,485996296.3,60681537195.8,87924544000,279116666666.67,21386150000,22388345810.25,23019150071.19,4886533032.89,43310721414.08,3972012570.53,258290060227.73,2683671716967.19,17170465294.03,1415006238.1,16488403076.36,3527143188785.16,41270954737.25,242029307133.41,799882259.26,49593961141.75,7638045254.43,989271229.64,4063089191.88,13708926466.27,18528601901.32,262629441493.48,128857370476.63,14751508133.54,1827637859135.7,917869910105.75,644035510447.9,225496810956.67,6690725118.48,258417104163.53,2086957656821.6,14807086889.21,6272362996105.03,,31634561690.14,207998568865.79,56396706005.94,189630114.86,174070382279.39,6605139933.41,10192848926.26,28169902669.38,44016799515.82,2477702252.8,2791614000,92538004279.94,5456009384.66,42927454291.48,59776383527.36,11578974887.96,6028487928.83,314443149443.15,12442035328.04,9462238211.49,180436300,6728208836.22,11668685524.13,1201089987015.45,327248700,8709138764.76,5743029680.07,98266306615.36,16350813486.99,58318677644.95,13042007432.45,21703106501.97,838923319919.53,176206659722.52,10532006608.14,9426913349.22,455501524575.5,9745251126.01,509506317146.54,87408842652.8,224383620829.57,212397800,40429734400,21295659243.62,33296438306.47,192648999090.08,261920509950.56,498523568248.12,216224240577.96,186833502362.13,170635805316.88,2208295773643.15,7650671476.95,1605146777.78,730032600.11,760549577.7,1604779647.95,250680845.75,735974843348.66,17660871726,43309252921.06,1059496470.22,3801862611.36,295087220933.02,,46577793184,1191045573.2,434400545085.81,1278427634342.59,1324744314781.64,68434409315.11,63195499524.21,4980000000,552483727282.8,692109693986.89,44117799606.71,,7633049792.09,39650530214.33,397558222957.17,3873308389.3,25781712702.86,47311159485.24,880556375779.51,35164210526.32,27305915761.29,182592416468.53,2719158341005.79,16253972230000,51264390116.49,67517349212.06,747839697.75,,195592471672.75,35401341663.04,25503060420.03,17114849900
2013,12776220507.02,209755003250.66,3193512950.02,133401594460.92,1181448148.15,552025140252.25,11121465767.41,2727932960.89,1576335282651.07,430190979705.96,74164435946.46,10562800000,32539468085.11,149990451022.29,4677248301.9,75527984234.23,521791015247.06,1581844936.42,12517845732.21,6465756000,1756215665.09,30659338885.67,14901750991.2,2472819362216.69,,18093829923.27,55810138436.48,13444301139.14,2451606684.32,1850470042.43,15227991395.22,33728622819.09,1846597421834.98,1691544192.38,12953535495.88,277239461340.4,9570406235659.64,382116126448.55,17958720704.46,50949672205.92,42760237561.44,58889082315.34,77148000000,23900872625.85,211685616592.93,32679745297.65,343584391647.93,2042817162.86,498296296.3,62682163837.35,95129659000,288434108527.13,21990960000,21948835350.34,25115753366.11,4597532029.7,47648211133.22,4190143206.26,271362405890.59,2811876903329.03,17595745653.37,1375608956.1,17189551520.98,3733804649549.03,62823043706.47,238907690051.13,842620111.11,52996540703.59,8376613843.27,1046087417.97,4167800259.21,14902474090.62,18499710127.84,275696879834.97,135732595721.85,16125060515.31,1856722121394.53,912524136718.02,492775565649.56,238279269750.99,7000748788.49,294167366504.27,2141924094298.56,14264202737.31,5212328181166.18,,34454440140.85,236634552078.1,61671425370.02,184550740.14,174161142454.16,7335027591.92,11983252611.27,30204783461.85,46880103080.66,2367113170,3177198100,75350633010.93,6391735893.84,46523420074.44,65203276466.98,12423555269.39,5518880768.58,323277158906.98,13242690790.06,10551661176.78,184840400,7223071177.16,12129642296.44,1274443084716.57,317214400,9496717702.45,6555983530.35,106825649872.11,16974314296.22,60572257122.3,12043276397.17,22162208956.14,877172824534.51,190906575136,10982979274.19,10224897934.72,508692961937.49,10817712138.95,522761531914.89,89936020806.24,231218567178.98,221117200,45599994000,21261432791.27,38651334287.67,201175469114.33,283902728260.72,521016262734.92,226433858005.71,198727642979.3,190801346194.3,2292473246621.08,7815975293.67,1664816740.74,764781242.71,770059564.97,1678841811.66,300554483.61,746647127407.62,18918668644.19,48394239474.68,1328089686.37,4920343194.99,307576360584.99,,48415657264.88,1284763287.27,400886013595.57,1370795199976.18,1355142585077.65,74317806538.36,66026600235.45,5145757575.76,586841821796.89,712748124222.61,22552466245.33,,8448469837.54,45680532613.76,420333203150.43,4321655656.33,27294453245.38,48684187850.06,957783020853.03,39197543859.65,28915786996.55,190498811460.03,2803291406029.93,16843190993000,57531233350.91,73180036692.33,758304466.25,,213710932339.11,40415235701.99,28037239462.71,19091020000
2014,13228147516.12,213810024944.46,3271685596.66,137244418012.55,1249733333.33,526319673731.64,11609512939.75,2791061452.51,1467504819608.92,442584815286.03,75244294275.15,11176100000,33387712765.96,172885454931.45,4696344341.64,78813839984.35,535390200131.02,1676406801.54,13284528654.06,6413988000,1907090813.46,32996188017.37,15654660710.11,2456043766028.73,,17098342541.44,57082011260.34,13943016923.9,2705783272.07,1859898513.27,16702610842.4,36386546917.69,1805749878439.94,1894813504.53,13940768065.61,259405202008,10475682920597.7,381112119657.45,17912907682.07,52016408950.89,48843008580.33,58330289756.69,80656000000,23156850006.64,209358834156.33,35909040265.93,352993631617.71,2214679081.26,520207407.41,67179914026.96,101726331000,305595408895.27,22593470000,21765454404.42,26634083965.1,4422968339.68,55612228233.52,4856963229.84,274862826772.16,2855964488590.19,18203968001.89,1229460601.92,17627003454.72,3889093051023.52,54782847752.54,235458133124.61,911497407.41,57852399963.79,8778473614.55,1054915645.2,4127659492.02,15139264670.42,19756494434.7,291459356985.34,141078984816.68,17867662177.89,2039127446298.55,890814755233.23,460382791826.34,258969649063.72,7708834951.46,310944937638.44,2162009615996.54,13899228824.22,4896994405353.29,,36847643521.13,221415572819.5,68285768554.47,177862310.35,162631412508.78,7468096566.71,13279248478.82,31386896487.04,48095213746.47,2441053175.71,3225652000,57372445771.77,6657170923.38,48533659592.17,68804811897.64,12522957228.18,6047813437.32,338061963396.38,14364937127.7,11626281387.01,182142800,6592537781.82,12803445933.59,1315351183524.54,319271200,9510198961.57,7069616048.89,110081248587.37,17716091057.27,63264892768.37,12435416060.28,22731602969.97,892167986713.72,201313497220.92,11880434070.78,10862944203.56,546676374567.72,11362272837.88,498410050251.26,92699089726.92,244360888750.81,241669800,49921464400,23210682538.39,40377987208.69,200789362451.57,297483247101.04,542477096211.76,229901964221.88,206224598564.62,199959363430.07,2059241965490.83,8234762201.04,1755130814.81,770901436.44,756805950.23,1673973694.7,346528329.18,756350347320.38,19797254643.12,47062206677.65,1387577763.19,5015157815.73,314851156183.41,,49997186439.09,1335584911.8,381198869776.11,1484318219633.63,1371222712535.68,79356449840.58,76818327441.65,5240606060.61,581964017237.1,734396591036.93,22075987601.93,,9112544556.06,49964788814.09,407339454060.68,4574986536.91,27642525749.35,50271072627.67,938952628604.07,43524210526.32,32612397758.46,133503411375.74,3087165602962.86,17550680174000,57236013086.12,80845384375.12,772315721.27,,233449971628.52,43228585321.33,27141023558.08,19495519600
2015,11386850129.84,165979279263.17,2789881258.5,87219290028.73,1336692592.59,594749285413.21,10553337672.99,2963128491.62,1350534154255.76,381971148530.54,53074370486.04,11861900000,31050638297.87,195078678697.23,4724691212.51,56454734396.58,462335574841.48,1734320479.14,11388160958.25,6654541000,2003598212.99,33000198248.91,13578754072.47,1802211999538.68,,12930394937.81,50781996712.76,11832159275.6,3104003611.43,1596800287.16,18049954289.42,32210232911.66,1556508816217.14,1695825708.46,10950392219.91,242496649874.24,11061553079871.5,293481748240.78,11890259176.68,56441917652.98,45814637971.47,50163192883.15,87133000000,19842404304.89,188033050459.88,37917704900.08,302673070846.86,2424391785.44,540737037.04,71164825256.68,99290381000,329366576819.41,23438240000,13185496836.41,22890762090.15,4063245671.29,64589334978.8,4682546863.08,234534382384.77,2439188643162.5,14383107714.04,1378176868.32,14953950557.44,3357585719351.56,49406568432.67,195683527003.38,997007925.93,62186186575.74,8794202443.67,1048229629.42,4279840193.7,14833154471.75,20979767785.21,309383627028.56,125210324613.14,17517210519.09,2103587813812.75,860854235065.08,408212918053.94,291580037584.33,7085288006.11,300078278118.43,1836637711060.55,14188935947.57,4444930651964.18,,38587017887.32,184388432148.72,70120413328.78,170291001.98,114567298105.68,6678178340.45,14426381187.09,27263090547.06,49929337837.08,2359759799.04,3227075700,48717854039.97,6268391521.2,41435533340.39,60071584216.14,11323020828.58,6373212640.85,301354803994.37,13104764378.71,11091434483.52,183814300,6166863960,11692287066.38,1171867608197.72,316489900,7745241912.95,6261622101.41,101179808076.36,15950979333.16,63045305229.1,11335179562.02,24360795410.64,765572770634.38,178064471137.92,12756706583.31,9683867893.68,486803295097.89,10064515432.03,385801550067.17,78710793237.97,270556131701.17,280457700,54091713800,21723531173.24,36211372702.81,189805300841.6,306446140628.71,477811911394.08,199394066525.44,161739955577.75,177729210874.5,1363481063446.77,8539424910.08,1808079888.89,786554580.8,788307314.85,1419394763.12,316066072.34,654269739552.02,17774766636.05,39655958842.55,1415998663.05,4218723875.14,308004146057.61,,43107506024.33,1307082934.29,346709790458.56,1465773245547.15,1195599995808.59,80604080688.58,84985132167.22,5126291450.82,505103781349.76,702149580770.9,17622064891.81,,8271454300.6,47378599025.3,401296437425,4180866177.04,25191551350.42,45780128466.56,864316670330.88,35799714285.71,32387183844.67,91030959454.7,2956573778737.76,18206020741000,53274304222.14,86196265191.66,730870581.67,,239257234710.76,42444495590.11,21251216798.78,19963120600
2016,11861199830.84,160034163871.46,2896610479.73,49840494025.52,1436585185.19,557531376217.97,10546135160.03,2983798882.68,1206685107002.47,395837353031.5,37867518957.2,11834600000,32234973404.26,265236247989.16,4832811755.56,47722657820.67,476062757356.93,1796928936.72,11821066152.6,6899911000,2158972129,33941126193.92,15082578064.8,1795693265810.23,,11400854267.72,53953897624.43,12833363370.17,2639321196.47,1663008687.1,20016747754.02,33814337900.28,1527994741907.43,1825018190.85,10097778353.77,249298719723.11,11233276536744.7,282825009887.46,10219341017.14,58847016044.74,47964234560.05,52295158344.25,91370000000,20953442550.37,196272068576.34,37134799974.52,313115929314.34,2604955228.7,576229629.63,75704720189.56,99937696000,332441717791.41,24191430000,11240809132.41,24072829276.77,3816022046.83,74296618481.09,4930204229.72,240771351298.83,2472964344587.17,14023890620.34,1484579844.37,15141758566.78,3469853463945.53,56165172898.87,193148146586.93,1061640740.74,66053725049.01,8595955581.22,1179004941.23,4482697336.56,13987693738.92,21717622071.38,320858250776.19,128636108315.47,20793168030.95,2294797980509.01,931877364177.74,457954614142.54,298928152644.69,6846691871.46,319024417316.89,1877071687633.78,14077109396.86,5003677627544.24,,39892551126.76,137278320084.17,74815121314.94,178509814.06,109419728566.7,6813092065.84,15912495368.87,28083597512.48,51147308773.93,2114020380.42,3398419600,49910960874.57,6237264055.21,43047309305.74,62216885435.95,11848613735.19,5433040159.89,301255380276.26,14026048334.21,11668286794.86,201510900,6398747531.6,12232463655.57,1078490651625.31,332265200,8071469355.25,6472990923.18,103311649248.02,11936993086.96,60291736893.94,10721994676.66,24524098184.65,784060430240.08,188838342527.98,13286083644.88,10398862244.97,404650006428.61,10672471860.72,368827142857.14,75128738621.59,313629858859.59,298300000,57907695400,20759069103.1,36089550659.09,191895943823.89,318626761492.87,472630364208.18,206426152308.93,151732181857.11,188128818486.4,1276786979221.81,8690878327.95,1865513429.63,814302267.07,799493897.54,1468377241.53,345495614.98,644935682011.48,19040312815.13,40692643373.03,1490226453.96,3674794530.19,318832428519.73,,44766722790.58,1378543909.31,323585509674.48,1500111596236.37,1232912963206.23,82401038709.54,102943741648.82,3317438910.83,515654671469.55,695600652899.28,12453459334.72,,6992393787.41,49774021003.07,413366150655.59,6031632168.17,22373566809.82,44360614525.14,869692960365.55,36169428571.43,29203988814.9,93355993628.5,2722851958486.23,18695110842000,57236652490.17,86138288615.12,780889605.9,,257095955975.53,31317828583.59,20958412538.31,20548678100
2017,13019689336.69,170097014589.13,3000162081.12,68972763787.15,1467977777.78,643628665302.16,11527458565.73,3092178770.95,1326882872011.46,417261151844.98,40865558912.39,12357600000,35473776595.74,293754646182.39,4981588899.82,54726595249.18,502764720556.35,1844906692.54,12701654743.21,7142316000,2450364928.07,37508642170.77,16088437675.16,2063514688761.98,,12128104859.15,59199447421.49,14106956830.09,2712324087.28,1769787215.42,22177200511.58,36098550141.59,1649265644244.09,2072349974.15,10000395242.15,276364933679.63,12310409370894.2,311883730690.13,11094823676.59,60516043590.18,51588158717.53,56214427431.2,96851000000,22870833709.9,218628940951.68,38019265625.88,332121063806.39,2762581334.23,521551851.85,79997975621.87,104295862000,235733695652.17,24979190000,12200912828.37,26924385103.07,4402969225.92,81770791970.98,5353404422.08,255647979916.47,2595151045197.65,14929488770.73,1504909753.29,16242916915.72,3690849152517.65,60406382898.52,199844406013.53,1125685185.19,71654134378.53,10324668266.59,1350177127.55,4748174334.14,15035560372.64,23136232229.61,341273289534.47,143136245596.99,24728285177.46,2651472946374.91,1015618742565.81,486630146443.62,335430829594.03,6979581724.58,355277223507.49,1961796197354.36,14808989993.32,4930837369151.42,,41408960845.07,166805800595.7,82035800868.19,188192060.09,120707435542.37,7702934800.13,17071162084.41,30483806017.83,53027680685.84,2306185361.15,3390703400,67158415841.58,6474256118.61,47758736931.78,65712180342.98,13176313593.55,8943543677.19,319112136545.44,15365713059.11,13505056441.52,213204100,6800135961.61,13259351418.45,1158913035796.37,366666800,9669741744.22,6431314957.07,109682728023.11,13219079497.71,61449392056.15,12895153160.47,28971589213.22,833869641687.06,206623758800.16,13785909906.19,11185102399.58,375746469538.67,11307058382.34,398393955268.99,80856697009.1,339205615769.19,285300000,62202725200,22742613553.69,38997129473.56,211007207483.52,328480867142.69,526508877305.32,221357874718.93,161099122215.31,211695422578.66,1574199387070.9,9252834120.39,1996771440.74,847620214.76,832025556.08,1528630704.93,375614126.19,688586094412.68,20996564751.6,44179055279.89,1573428277.12,3719369107.35,343193352161.63,,48589100043.1,1483793468.06,381448814653.46,1623901496835.79,1312539279462.36,87428128123.72,129717804934.61,3591623596.03,541018749769.1,704478516963.86,16340665431.52,,7536439875.08,53320625958.56,456356961443.5,6395472574.41,23180107751.92,42164007605.19,858996263095.86,37926285714.29,30744473911.53,112090530368.54,2699016715111.39,19479620056000,64233966861.25,62081323299.03,880062103.05,,281353402175.24,26842231204.8,25873601260.84,17584890936.65
2018,15156432309.9,174910878623.05,3218419896.96,77792940077.12,1605944444.44,524819742918.67,12457941907.03,3202234636.87,1428529571351.06,455168151938.94,47112941176.47,12755800000,37802005319.15,321379023557.46,5097283213.14,60031262269.34,543347368038.35,1887465218.48,14262407011.48,7225977000,2446866404.93,40287647930.54,16914245098.04,1916933708381.89,,13567351175.03,66363422450.21,15890065019.76,2660123624.28,1966501117.61,24571753583.49,39973839064.61,1725329192783.02,2220978978.17,11239167048.49,295402652037.16,13894817549380.3,334198214706.21,13670038019.86,62420165099.72,58011466450.86,62247874948.82,100050000000,25522671232.88,248950103352.14,47568210068.49,356841216410.07,2913466732.13,554770370.37,85555378042.82,107562008000,249712999437.25,26020850000,13097011208.46,30489500904.86,4666784617.6,84269348327.35,5581371850.15,275715087494.9,2790956878746.66,16867325126.54,1670670668.59,17596922469.92,3977289455388.23,67299280679.56,212049447242.11,1166523555.56,73208583758.91,11857030336.53,1504630120.99,4787636237.24,16455034352.77,24067778953.84,361731070995.73,160586833778.46,26267063757.55,2702929718960.46,1042271531011.99,330991589888.99,385041711506.23,7491969312.88,373641241440.79,2091932426266.98,15730793852.79,5037835383110.97,,42932112676.06,179339994859.38,92202956320.53,196230573.82,138182400493.59,8271108638.4,18141651381.39,34429023435.02,54901519155.62,2514146887.92,3422754800,76684175824.18,6692504346.05,53750911865.69,71285019397.41,13614412550.88,9880676218.83,358791513221.48,17070867577.67,15301279478.21,221588900,7352533585.59,14181951058.51,1222408203104.3,401932300,11457443185.05,7194024563.06,118096227400.09,14845400592.67,67144725830.58,13682062249.22,33111525871.95,914043438179.61,211953111035.51,13025239912.28,12808660528.06,397190484464.31,12683070061.47,436999692591.45,91505851755.53,356128224957.09,284700000,64929409200,24109509852.74,40225448340.63,222597212925.21,346842094175.24,587411745161.56,242313116577.97,183334953813.21,241457403085.04,1657329646183.62,9642440645.81,2065127262.96,884328180.53,821286938.9,1655300897.5,412253809.73,816578674529.14,23116897847.05,50640650221.46,1636310049.4,4085114794.22,376998146500.59,,54163591695.32,1574622018.23,404842116738.07,1724845615629.26,1420994142512.16,87963042340.77,32333780383.29,3996247906.2,555455371487.09,735539301552.67,21445775363.86,,7765014424.34,57003713610.76,506754616189.32,7112200725,23820742956.97,42685972269.45,778471901665.15,40765428571.43,32927025573.43,130891049796.88,2900791442554.06,20527156026000,64515038268.14,52633143808.18,914736985.43,,308702086757.62,21606161066.21,26311590296.7,18115543790.79
2019,15401830754.08,171767403748.19,3155149347.81,69309104806.63,1687533333.33,452818426182.66,13619291361.28,3310055865.92,1391952510370.48,445011872704.47,48174235294.12,13192800000,38653318085.11,351238438542.79,5304164323.25,64409647193.8,535376258146.67,1945250235.58,14391686632.78,7423465000,2535657069.06,40895322850.94,16695925027.19,1873288158977.23,,13469422958.51,68915416141.96,16178162030.07,2581268125.79,1981845740.71,27089389786.98,39670977332.73,1742015045482.31,2221301400.72,11314951342.78,278584733103.01,14279937500608,323109543324.32,12750338736.17,64417670082.61,58539424929.72,62246206340.55,103428000000,25758357774.54,252498032247.16,51775830725.83,347561349210.98,3088853638.57,611537037.04,88941299733.5,108108009000,303080865603.65,26896660000,11364134108.62,31045591753.49,4466066557.38,95912590628.14,5496264765.78,268508200125.49,2728870246705.88,16874405839.79,1813608279.65,17470436258.51,3888326788627.44,68337537815.77,205144152830.85,1213485185.19,77020015201.32,13442861443.75,1439638443.38,5173760191.85,14785839382.9,25089976946.77,363052489184.4,163526491433.29,24857740445.04,2831552222519.99,1119099868265.25,291362916336.42,399122063504.15,7315388052.08,397934596952.56,2011285742552.15,15830768549.89,5123318151510.62,,44502895915.49,181667190075.54,100379713697.42,177935349.32,136196760180.98,8871026074.2,18740559554.16,34308783825.3,51605959131.34,2451257578.69,3319596500,69252306372.02,6427248943.45,54697379017.33,70195715495.51,14191911512.05,11025370768.81,365276379480.99,17280250805.22,15719500920.54,239462200,7889655284.47,14045808843.22,1269404276770.7,412479413.36,11971345002.78,7383745662.15,119870439113.66,15390031040,68697759361.23,12543203410.69,34186190995.96,910194347568.63,213434571357.98,12596636042.23,12916455161.11,448120428858.77,12606338448.55,404941363636.36,88060858257.48,320909489229.72,274200000,66984427200,24751344560.89,37925338329.16,228323495040.9,376823278561.2,597280564671.56,239986922638.9,175837550996.19,249881592298.07,1693113904262.89,10356327149.43,2118791548.15,910149698.91,852007104.66,1616231696.05,427425039.68,803616264791.02,23398811423.58,51514222381.84,1684228528.67,4076578542.56,375472731271.08,,54178877606,1570093229.26,387934574098.17,1651422932447.77,1393046093137.25,83902574442.8,32338079165.29,3984483762.37,533879529188.45,731767398052.88,,,8300784856.88,61136873692.4,544081056184.7,7220395247.74,23886216403.35,41772900763.36,761004425605.41,45231428571.43,35353060634.2,153882982016.28,2878673912414.44,21372572437000,61231149880.59,59907674027.47,936526267.62,,330391329475.73,21887614217.17,23308667781.23,19284289739.05
