country,country_code,profile_url
Mauritania,MRT,https://ww1.issa.int/node/195543?country=916
Mauritius,MUS,https://ww1.issa.int/node/195543?country=917
Mexico,MEX,https://ww1.issa.int/node/195543?country=918
Micronesia,FSM,https://ww1.issa.int/node/195543?country=919
Moldova,MDA,https://ww1.issa.int/node/195543?country=920
Monaco,MCO,https://ww1.issa.int/node/195543?country=921
Morocco,MAR,https://ww1.issa.int/node/195543?country=925
Mozambique,MOZ,https://ww1.issa.int/node/195543?country=926
Myanmar,MMR,https://ww1.issa.int/node/195543?country=927
Namibia,NAM,https://ww1.issa.int/node/195543?country=928
Nepal,NPL,https://ww1.issa.int/node/195543?country=930
Netherlands,NLD,https://ww1.issa.int/node/195543?country=931
New Zealand,NZL,https://ww1.issa.int/node/195543?country=933
Nicaragua,NIC,https://ww1.issa.int/node/195543?country=934
Niger,NER,https://ww1.issa.int/node/195543?country=935
Nigeria,NGA,https://ww1.issa.int/node/195543?country=936
North Macedonia,MKD,https://ww1.issa.int/node/195545?country=907
Norway,NOR,https://ww1.issa.int/node/195543?country=938
Oman,OMN,https://ww1.issa.int/node/195543?country=939
Pakistan,PAK,https://ww1.issa.int/node/195543?country=941
Palau,PLW,https://ww1.issa.int/node/195543?country=942
Panama,PAN,https://ww1.issa.int/node/195543?country=944
Papua New Guinea,PNG,https://ww1.issa.int/node/195543?country=945
Paraguay,PRY,https://ww1.issa.int/node/195543?country=946
Peru,PER,https://ww1.issa.int/node/195543?country=947
Philippines,PHL,https://ww1.issa.int/node/195543?country=948
Poland,POL,https://ww1.issa.int/node/195543?country=949
Portugal,PRT,https://ww1.issa.int/node/195543?country=950
Qatar,QAT,https://ww1.issa.int/node/195543?country=952
Romania,ROU,https://ww1.issa.int/node/195543?country=954
Russian Federation,RUS,https://ww1.issa.int/node/195543?country=955
Rwanda,RWA,https://ww1.issa.int/node/195543?country=956
Saint Lucia,LCA,https://ww1.issa.int/node/195543?country=958
Saint Vincent and the Grenadines,VCT,https://ww1.issa.int/node/195543?country=959
Samoa,WSM,https://ww1.issa.int/node/195543?country=960
San Marino,SMR,https://ww1.issa.int/node/195543?country=961
Sao Tome and Principe,STP,https://ww1.issa.int/node/195543?country=962
Saudi Arabia,SAU,https://ww1.issa.int/node/195543?country=963
Senegal,SEN,https://ww1.issa.int/node/195543?country=964
Serbia,SRB,https://ww1.issa.int/node/195543?country=965
Seychelles,SYC,https://ww1.issa.int/node/195543?country=966
Sierra Leone,SLE,https://ww1.issa.int/node/195543?country=967
Singapore,SGP,https://ww1.issa.int/node/195543?country=968
Slovakia,SVK,https://ww1.issa.int/node/195543?country=970
Slovenia,SVN,https://ww1.issa.int/node/195543?country=971
Solomon Islands,SLB,https://ww1.issa.int/node/195543?country=972
South Africa,ZAF,https://ww1.issa.int/node/195543?country=974
South Korea,KOR,https://ww1.issa.int/node/195543?country=893
Spain,ESP,https://ww1.issa.int/node/195543?country=976
Sri Lanka,LKA,https://ww1.issa.int/node/195543?country=977
Sudan,SDN,https://ww1.issa.int/node/195543?country=24774
Suriname,SUR,https://ww1.issa.int/node/195543?country=980
Sweden,SWE,https://ww1.issa.int/node/195543?country=982
Switzerland,CHE,https://ww1.issa.int/node/195543?country=983
Syrian Arab Republic,SYR,https://ww1.issa.int/node/195543?country=984
Taiwan (China),TWN,https://ww1.issa.int/node/195543?country=985
Tajikistan,TJK,https://ww1.issa.int/node/195543?country=986
Tanzania,TZA,https://ww1.issa.int/node/195543?country=987
Thailand,THA,https://ww1.issa.int/node/195543?country=988
Togo,TGO,https://ww1.issa.int/node/195543?country=990
Trinidad and Tobago,TTO,https://ww1.issa.int/node/195543?country=992
Tunisia,TUN,https://ww1.issa.int/node/195543?country=993
Türkiye,TUR,https://ww1.issa.int/node/195543?country=994
Turkmenistan,TKM,https://ww1.issa.int/node/195543?country=995
Uganda,UGA,https://ww1.issa.int/node/195543?country=998
Ukraine,UKR,https://ww1.issa.int/node/195543?country=999
United Kingdom,GBR,https://ww1.issa.int/node/195543?country=1001
United States of America,USA,https://ww1.issa.int/node/195543?country=1002
Uruguay,URY,https://ww1.issa.int/node/195543?country=1004
Uzbekistan,UZB,https://ww1.issa.int/node/195543?country=1005
Vanuatu,VUT,https://ww1.issa.int/node/195543?country=1006
Venezuela,VEN,https://ww1.issa.int/node/195543?country=1007
Vietnam,VNM,https://ww1.issa.int/node/195543?country=1008
Yemen,YEM,https://ww1.issa.int/node/195543?country=1009
Zambia,ZMB,https://ww1.issa.int/node/195543?country=1010
Zimbabwe,ZWE,https://ww1.issa.int/node/195543?country=1012
