Albania,1960.881946,2143.526278,2247.497491,2380.643997,2522.448714,2675.507936,2851.367012,3044.895819,3298.478044,3432.169973,3577.113388,3678.046738,3736.339101,3780.698202,3855.759734,3952.802538,4090.371657,4249.803734,4431.539181,4543.38652
Algeria,3138.231048,3188.207271,3321.638849,3512.9002,3612.754164,3774.072491,3783.314204,3848.779512,3874.369338,3866.297025,3931.721348,3969.661577,4025.642803,4057.766137,4129.423902,4197.421361,4246.243565,4218.083701,4188.221757,4153.004816
Angola,1832.514102,1847.874736,2031.503726,2022.035684,2166.147716,2404.631169,2587.725057,2844.818355,3048.594002,2963.315988,2993.420974,2983.032611,3118.343699,3152.704327,3185.122401,3100.830685,2914.415459,2808.521753,2677.177816,2569.691347
Antigua and Barbuda,14247.97301,13392.98172,13358.81437,14010.84906,14656.29262,15423.80002,17163.39783,18505.79067,18228.64913,15804.44514,14367.9515,13918.59653,14232.96959,14015.87931,14427.40691,14861.88271,15570.90406,15962.68012,16967.08623,17697.23115
Argentina,10672.72204,10090.65344,8895.319642,9581.969792,10341.64341,11141.31067,11913.95853,12857.09258,13246.63489,12336.86194,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242
Armenia,1249.612148,1385.044814,1582.057645,1815.788251,2018.46017,2312.982895,2636.256687,3019.465605,3250.498659,2810.192882,2889.56627,3043.262831,3278.670496,3402.083904,3538.529444,3666.141876,3689.830136,3985.916757,4215.899456,4561.967866
Aruba,29005.93337,29693.13991,29059.48651,29093.57824,30931.9365,30505.33919,30490.36584,31051.00157,31230.19304,27243.3332,26200.7273,26829.63448,26337.58506,27821.7916,27624.3773,28421.38649,28852.23707,30270.9416,31705.27905,31762.73403
Australia,45893.81175,46233.24851,47535.78957,48454.2822,49960.38024,50912.4669,51606.66553,52587.786,53383.7075,53272.98473,53607.98476,54132.52175,55271.36614,55729.19299,56320.11029,56710.44572,57356.05124,57703.03436,58481.03442,58870.02169
Austria,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46647.08096
Azerbaijan,1480.756662,1614.792119,1754.073609,1918.543625,2077.812263,2631.758981,3501.041809,4326.961569,4692.912185,5023.79077,5215.020915,5152.657454,5194.73839,5425.905292,5505.988233,5500.310382,5270.552975,5229.526141,5262.183808,5348.265267
"Bahamas, The",32823.80576,33214.16875,33665.57034,32799.13686,32645.12485,33295.93274,33663.54892,33672.97124,32425.58808,30627.33786,30664.02592,30470.24837,31072.84567,29902.24342,30182.19433,30206.24043,29699.1856,30371.58098,30705.60197,31082.8061
Bahrain,21713.53805,21681.0283,21866.04923,22348.90481,22325.70308,22027.33131,21783.85153,22013.75842,21918.00506,21157.79342,21452.92152,21906.74643,22484.85482,23012.70834,23107.95659,22795.44886,22810.77492,23019.25574,23023.11978,23414.21907
Bangladesh,646.0381127,666.0681154,678.8678759,698.7324633,723.2282294,758.8903834,799.781907,847.2824062,890.2966484,927.0185879,967.5616037,1017.628281,1070.595743,1120.68594,1173.893634,1236.00506,1307.733035,1376.604208,1460.305017,1557.965291
Barbados,16698.06105,16258.84218,16320.56803,16610.53694,16781.89833,17382.7728,18380.66991,18692.12112,18729.59024,17714.67524,17237.77116,17071.05344,16953.43554,16667.73838,16615.50544,16990.21947,17385.20075,17430.87321,17220.931,17168.14569
Belarus,2616.912993,2754.66447,2912.123361,3139.120986,3522.489851,3880.01437,4294.228672,4684.980291,5180.712344,5203.854887,5621.937175,5938.22068,6047.871129,6110.904667,6212.912772,5967.052204,5811.197944,5964.892944,6165.90933,6264.860965
Belgium,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43098.48472
Belize,5693.741485,5795.345531,5903.978933,6259.038916,6353.227391,6301.915865,6400.181438,6421.955138,6148.522801,5955.111038,5881.382237,5742.670206,5831.158848,5960.360401,6069.46148,6142.478833,6024.835945,5806.065449,5756.852249,5907.348872
Benin,888.7301846,908.347703,922.4176387,925.8492611,938.0381781,924.2695241,931.7691409,959.5549935,977.3031632,970.9659689,962.8161095,962.7445897,980.0746132,1020.528234,1054.108767,1041.652523,1045.150937,1072.361966,1111.22724,1153.72621
Bhutan,1115.626099,1176.654075,1272.632676,1338.509564,1385.397381,1456.480787,1535.428927,1795.073019,1859.071722,1961.940105,2171.91129,2319.592527,2411.898057,2436.861451,2551.484823,2695.638773,2889.495868,2998.475263,3065.85565,3219.643671
Bolivia,2017.394606,2015.377477,2029.617941,2048.559815,2097.258351,2152.361967,2216.544706,2277.503824,2376.078087,2414.129943,2471.47363,2556.830266,2643.690813,2777.720529,2882.806893,2975.648811,3054.892547,3135.031644,3219.200886,3242.948843
Botswana,4917.108685,4831.662503,5030.138976,5171.411466,5219.283517,5359.884661,5700.076803,5912.921536,5982.511824,5031.857331,5428.15993,5684.215237,5566.542084,6067.846155,6291.244109,5869.732943,6166.085179,6287.597986,6418.571887,6485.457267
Brazil,6745.865881,6749.889719,6868.704165,6865.181505,7178.356116,7325.912358,7534.551559,7909.834758,8231.110269,8142.770839,8673.908812,8935.288057,9025.324848,9216.14336,9183.470768,8783.225984,8426.853352,8470.950789,8553.876187,8592.221538
